,p_value,corrected_p_value,Direction,Response
hsa-miR-140-3p,0.002988889504444198,0.5367631584000748,Decrease,0
hsa-miR-30e-5p,0.006674751842908249,0.5367631584000748,Increase,0
hsa-miR-301a-3p,0.007640756703203912,0.5367631584000748,Increase,0
hsa-miR-19a-3p,0.0058402401386726775,0.5367631584000748,Increase,0
hsa-miR-101-3p,0.019229796272624843,0.5488996494959982,Increase,0
hsa-miR-409-3p,0.04733422027737323,0.5488996494959982,Decrease,0
hsa-miR-3688-5p,0.04550588891101374,0.5488996494959982,Increase,0
hsa-miR-30d-3p,0.010064930870393582,0.5488996494959982,Increase,0
hsa-miR-27b-3p,0.03836986708683348,0.5488996494959982,Increase,0
hsa-miR-27a-3p,0.03349103220287653,0.5488996494959982,Increase,0
hsa-miR-22-5p,0.03481907601658068,0.5488996494959982,Increase,0
hsa-miR-21-5p,0.03503127167301293,0.5488996494959982,Increase,0
hsa-miR-20b-5p,0.027599932840358627,0.5488996494959982,Increase,0
hsa-miR-20a-5p,0.025216915747834506,0.5488996494959982,Increase,0
hsa-miR-18a-5p,0.032425732995833755,0.5488996494959982,Increase,0
hsa-miR-17-5p,0.043540956314417206,0.5488996494959982,Increase,0
hsa-miR-144-5p,0.022382545813328984,0.5488996494959982,Increase,0
hsa-miR-144-3p,0.01830780644589493,0.5488996494959982,Increase,0
hsa-miR-142-3p,0.020070368053673276,0.5488996494959982,Increase,0
hsa-miR-126-5p,0.012884753299977996,0.5488996494959982,Increase,0
hsa-miR-125a-5p,0.032828213133485856,0.5488996494959982,Decrease,0
hsa-miR-451b,0.046862829990050994,0.5488996494959982,Increase,0
hsa-miR-505-3p,0.04428342758069048,0.5488996494959982,Decrease,0
